Country,iso3c,Daily waste generation per capita
Afghanistan,AFG,0.44496200407636954
Angola,AGO,0.46
Albania,ALB,1.0438355962805437
Andorra,AND,1.429173723211925
United Arab Emirates,ARE,1.5752381052286009
Argentina,ARG,1.141653542420421
Armenia,ARM,0.46456805964495806
American Samoa,ASM,0.9357362542491772
Antigua and Barbuda,ATG,0.8658516026322908
Australia,AUS,1.5368920243016615
Austria,AUT,1.610958936207072
Azerbaijan,AZE,0.8320105408916044
Burundi,BDI,0.7607740807672679
Belgium,BEL,1.1369863431192324
Benin,BEN,0.34033998556729567
Burkina Faso,BFA,0.3895769959748866
Bangladesh,BGD,0.2599999949965144
Bulgaria,BGR,1.1150684701410074
Bahrain,BHR,1.8299999999999998
"Bahamas, The",BHS,1.8697430739298537
Bosnia and Herzegovina,BIH,0.9675291117406137
Belarus,BLR,1.2356693250032746
Belize,BLZ,0.7730573244862062
Bolivia,BOL,0.5668775523940235
Brazil,BRA,1.0390134311022845
Barbados,BRB,1.706859288225859
Brunei Darussalam,BRN,1.4
Bhutan,BTN,0.4439427155663083
Botswana,BWA,0.2867105824582807
Central African Republic,CAF,0.6710581076812167
Canada,CAN,1.934907279111325
Switzerland,CHE,1.9424657892095354
Channel Islands,CHI,2.9793631815795085
Chile,CHL,1.0609261151111216
China,CHN,0.7731257395500788
Côte d’Ivoire,CIV,0.5963637295033561
Cameroon,CMR,0.41377497734363866
"Congo, Dem. Rep.",COD,0.5005525052454468
"Congo, Rep.",COG,0.4667400854751918
Colombia,COL,0.7173110197487221
Comoros,COM,0.32073962848009174
Cabo Verde,CPV,0.7065743611346842
Costa Rica,CRI,0.840764465089883
Cuba,CUB,0.6526400015649639
Curacao,CUW,0.44000000000000006
Cayman Islands,CYM,2.7780633009503752
Cyprus,CYP,1.7589040524435553
Czech Republic,CZE,1.36986301369863
Germany,DEU,1.6684931770497458
Djibouti,DJI,0.42220864351887555
Dominica,DMA,0.498599863770529
Denmark,DNK,2.3123286578836817
Dominican Republic,DOM,1.0575212135868015
Algeria,DZA,0.8352044706139755
Ecuador,ECU,0.8989455170880026
"Egypt, Arab Rep.",EGY,0.655188626365733
Eritrea,ERI,0.44509542055366075
Spain,ESP,1.3041096309429154
Estonia,EST,1.0109589221804345
Ethiopia,ETH,0.1792080017471652
Finland,FIN,1.5506849444106219
Fiji,FJI,0.598413075519614
France,FRA,1.5013699192300618
"Micronesia, Fed. Sts.",FSM,0.6798487442106491
Gabon,GAB,0.6006011174376814
United Kingdom,GBR,1.2684931806956181
Georgia,GEO,0.5896480648671837
Ghana,GHA,0.4500000208894176
Gibraltar,GIB,1.3814744391783347
Guinea,GIN,0.2010897197755054
"Gambia, The",GMB,0.40414419211955077
Guinea-Bissau,GNB,0.44799626839475415
Equatorial Guinea,GNQ,0.44509542971154586
Greece,GRC,1.4356163800658728
Grenada,GRD,0.7671605322396639
Guatemala,GTM,0.4647129970541634
Guyana,GUY,0.6578207127127771
"Hong Kong SAR, China",HKG,2.1300000000000003
Honduras,HND,0.65
Croatia,HRV,1.2191780821917808
Haiti,HTI,0.5834026028884147
Hungary,HUN,1.0602739689572307
Indonesia,IDN,0.6841040347542712
Isle of Man,IMN,1.7149282483804766
India,IND,0.38433856848329023
Ireland,IRL,1.6383561823957953
"Iran, Islamic Rep.",IRN,0.6103833127480524
Iraq,IRQ,0.9967978423092395
Iceland,ISL,1.7972603238365739
Israel,ISR,1.7654348454010342
Italy,ITA,1.3671232602273524
Jamaica,JAM,1.0
Jordan,JOR,0.8238578818590043
Japan,JPN,0.9250132356142422
Kazakhstan,KAZ,0.7602935259632602
Kenya,KEN,0.3707129868873126
Kyrgyz Republic,KGZ,0.5120342772753227
Cambodia,KHM,0.19537703313552324
Kiribati,KIR,0.8555749814240133
St. Kitts and Nevis,KNA,1.6599515925212665
"Korea, Rep.",KOR,1.0858101094395392
Kuwait,KWT,1.599195401843513
Lao PDR,LAO,0.14467502450733863
Lebanon,LBN,0.9974590049666296
Liberia,LBR,0.44022603044665853
Libya,LBY,0.95
St. Lucia,LCA,1.2
Liechtenstein,LIE,2.427631911866961
Sri Lanka,LKA,0.34004621987454603
Lesotho,LSO,0.10238385581779601
Lithuania,LTU,1.293150691813156
Luxembourg,LUX,2.1671233495463933
Latvia,LVA,1.2027397317566775
"Macao SAR, China",MAC,1.6914625163502366
St. Martin (French part),MAF,1.36986301369863
Morocco,MAR,0.5470178617138846
Moldova,MDA,3.0689549277270056
Madagascar,MDG,0.41476414444589466
Maldives,MDV,1.4162274946927236
Mexico,MEX,1.1555989508665765
Marshall Islands,MHL,0.44702896217301535
"Macedonia, FYR",MKD,0.8246575566067681
Mali,MLI,0.3316005379983247
Malta,MLT,1.901369892991622
Myanmar,MMR,0.2779999879380757
Montenegro,MNE,1.4520548055282914
Mongolia,MNG,2.624433747875917
Northern Mariana Islands,MNP,1.6610648456584498
Mozambique,MOZ,0.25169847566057063
Mauritania,MRT,0.3547442812565186
Mauritius,MUS,0.9497630736865766
Malawi,MWI,0.2144963968389653
Malaysia,MYS,1.176689862808065
Namibia,NAM,0.4508812745316271
New Caledonia,NCL,1.065905035971223
Niger,NER,0.5780500010460943
Nigeria,NGA,0.4900000158676521
Nicaragua,NIC,0.73
Netherlands,NLD,1.391780853530913
Norway,NOR,2.1260273736944835
Nepal,NPL,0.16722050158738705
Nauru,NRU,1.3
New Zealand,NZL,1.9879317073939675
Oman,OMN,1.2
Pakistan,PAK,0.43619284752160004
Panama,PAN,1.0162111548053547
Peru,PER,0.7391869471514569
Philippines,PHL,0.3879923837563496
Palau,PLW,1.2010742687066922
Papua New Guinea,PNG,0.35324935224445503
Poland,POL,0.9205479457827063
Puerto Rico,PRI,3.2901448249171827
Portugal,PRT,1.4054794731308065
Paraguay,PRY,0.7504302182262437
West Bank and Gaza,PSE,0.9389901062566146
French Polynesia,PYF,1.4723893935077843
Qatar,QAT,1.3
Romania,ROU,0.7671233131484403
Russian Federation,RUS,1.1479164325714308
Rwanda,RWA,1.0080642445241184
Saudi Arabia,SAU,1.4
Sudan,SDN,0.2007089883770787
Senegal,SEN,0.43625865532318675
Solomon Islands,SLB,0.875
Sierra Leone,SLE,0.3073410076237277
El Salvador,SLV,0.732858368605761
San Marino,SMR,1.4171586244682461
Somalia,SOM,0.44509541966321015
Serbia,SRB,0.9260273775357536
